macroeconomics,50,28890801,28890810,2024-11-01 08:15:20
calculus,45,28890811,28890820,2024-11-02 09:30:10
biology,40,28890821,28890830,2024-11-05 10:15:30
chemistry,30,28890831,28890840,2024-11-06 13:45:00
physics,25,28890841,28890850,2024-11-07 15:20:10
calculus,60,28890851,28890860,2024-11-08 14:50:00
macroeconomics,35,28890861,28890870,2024-11-10 11:20:30
biology,50,28890871,28890880,2024-11-12 14:00:00
chemistry,40,28890881,28890890,2024-11-15 16:30:45
physics,60,28890891,28890900,2024-11-17 09:15:20
calculus,30,28890901,28890910,2024-11-20 14:25:00
macroeconomics,55,28890911,28890920,2024-11-22 17:10:40
biology,35,28890921,28890930,2024-11-25 08:30:50
chemistry,25,28890931,28890940,2024-11-28 12:40:20
physics,45,28890941,28890950,2024-11-30 10:00:00
macroeconomics,40,28890951,28890960,2024-12-02 09:45:15
calculus,55,28890961,28890970,2024-12-04 16:00:20
biology,60,28890971,28890980,2024-12-05 16:45:30
chemistry,70,28890981,28890990,2024-12-08 10:10:10
physics,55,28890991,28891000,2024-12-10 09:30:40
calculus,65,28891001,28891010,2024-12-12 15:25:00
macroeconomics,45,28891011,28891020,2024-12-15 11:40:25
biology,30,28891021,28891030,2024-12-18 14:55:30
chemistry,25,28891031,28891040,2024-12-20 18:30:50
physics,50,28891041,28891050,2024-12-22 13:10:05
calculus,70,28891051,28891060,2024-12-25 09:50:10
macroeconomics,60,28891061,28891070,2024-12-28 10:30:00
algebra,0,28892081,28892081,2024-12-06 17:41:24
